,property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum,bed_bath_ratio,log_area,society_clean,additional_room_count,log_price
2227,2 BHK Flat,Vatika City Homes39 ,2,2,2,unavailable,West,new,Sector 83 Gurgaon,0.75,1457.5000000000002,5145.797598627786,0,0,0,0,0,1,3,32.0,Fancy,16.0,Basic,25.0,1.0,7.285163789307776,vatika city homes,0,0.5596157879354227
2228,3 BHK Flat,Emaar The Palm Drive,3,4,3,unavailable,unavailable,new,Sector 66 Gurgaon,3.9,2420.0,16115.702479338845,0,0,0,0,0,1,2,28.0,Medium,0.0,Minimal,20.0,0.75,7.791935956938058,emaar the palm drive,0,1.589235205116581
2229,1 BHK Flat,M3M Sky Lofts,1,1,1,unavailable,unavailable,unknown,Sector 71 Gurgaon,1.0,1241.4285714285716,8055.235903337169,1,0,1,0,0,0,9,28.0,Medium,0.0,Minimal,20.0,1.0,7.124823268534452,m3m sky lofts,0,0.6931471805599453
2230,2 BHK Flat,Raheja Vedaanta36 ,2,2,3,unavailable,West,unknown,Sector 108 Gurgaon,0.7,2211.428571428572,3165.374677002584,0,0,0,0,0,1,1,28.0,Medium,0.0,Minimal,25.0,1.0,7.701846092260861,raheja vedaanta,0,0.5306282510621704
2231,2 BHK Flat,Ashiana Anmol35 ,2,2,2,unavailable,unavailable,unknown,Sohna,0.9,1821.428571428572,4941.176470588235,0,0,0,0,1,0,8,-1.0,Unavailable,0.0,Minimal,25.0,1.0,7.507925270482977,ashiana anmol,0,0.6418538861723948
2232,2 BHK Flat,Sidhartha NCR One Phase 142 ,2,2,3,unavailable,North-East,unknown,Sector 95 Gurgaon,0.6,1375.0,4363.636363636364,0,0,0,0,0,1,10,28.0,Medium,0.0,Minimal,25.0,1.0,7.226936018493289,sidhartha ncr one phase ,0,0.4700036292457356
2233,4 BHK Flat,Chintels Paradiso39 ,4,4,2,"Pooja Room,Servant Room",North-East,new,Sector 109 Gurgaon,1.97,2893.0000000000005,6809.540269616315,0,0,0,0,0,1,11,38.0,Fancy,13.5,Basic,25.0,1.0,7.970394907191429,chintels paradiso,2,1.0885619528146082
2234,3 BHK Flat,ILD Grand,3,3,No,unavailable,unavailable,under construction,Sector 37C Gurgaon,1.35,2002.0,6743.256743256742,0,0,0,0,0,1,1,28.0,Medium,0.0,Minimal,20.0,1.0,7.602401335665818,ild grand,0,0.8544153281560676
2235,2 BHK Flat,Ramprastha The Edge Towers35 ,2,2,3,unavailable,unavailable,mid-age,Sector 37D Gurgaon,0.75,1551.0000000000002,4835.58994197292,1,0,0,0,0,0,19,-1.0,Unavailable,0.0,Minimal,23.5,1.0,7.347299700743164,ramprastha the edge towers,0,0.5596157879354227
2236,2 BHK Flat,Pioneer Park38 ,2,2,2,Servant Room,unavailable,new,Sector 61 Gurgaon,1.6,1971.428571428572,8115.942028985507,0,0,0,0,0,1,21,29.0,Medium,28.0,Good,25.0,1.0,7.587020839860839,pioneer park,1,0.9555114450274363
2237,2 BHK Flat,Trisara Our Homes 3,2,2,1,unavailable,South,newly built,Sohna,0.4,860.0,4651.162790697675,0,0,0,0,1,0,0,52.0,Fancy,21.5,Good,20.0,1.0,6.7580945044277305,trisara our homes ,0,0.33647223662121295
2238,2 BHK Flat,Ashiana Anmol35 ,2,2,2,unavailable,East,under construction,Sohna,0.99,1721.4285714285716,5751.03734439834,0,0,0,0,0,1,6,-1.0,Unavailable,13.5,Basic,25.0,1.0,7.451490534061998,ashiana anmol,0,0.688134638736401
2239,4 BHK Flat,Paras Dews,4,6,3+,"Servant Room,Others",South-East,new,Sector 106 Gurgaon,2.1,2590.5,8106.543138390272,0,0,0,0,0,1,6,-1.0,Unavailable,16.0,Basic,0.0,0.6666666666666666,7.859992137629761,paras dews,2,1.1314021114911006
2240,2 BHK Flat,Umang Monsoon Breeze,2,2,2,unavailable,unavailable,mid-age,Sector 78 Gurgaon,0.69,1828.571428571429,3773.437499999999,0,1,1,0,1,0,11,-1.0,Unavailable,16.5,Basic,20.0,1.0,7.511837026370759,umang monsoon breeze,0,0.5247285289349821
2241,2 BHK Flat,M3M Soulitude,2,2,2,Study Room,unavailable,under construction,Sector 89 Gurgaon,1.0,1575.7142857142858,6346.328195829556,0,0,1,0,0,0,2,-1.0,Unavailable,13.5,Basic,20.0,1.0,7.3630983947175705,m3m soulitude,1,0.6931471805599453
2242,3 BHK Flat,Signature Global Park 4,3,2,3,unavailable,unavailable,newly built,Sector 36 Sohna,0.85,1071.4285714285716,7933.333333333332,0,0,0,0,0,1,1,-1.0,Unavailable,9.0,Minimal,0.0,1.5,6.977681048517689,signature global park ,0,0.6151856390902334
2243,2 BHK Flat,HCBS Sports Ville36 ,2,2,1,unavailable,unavailable,new,Sohna,0.32,817.3000000000001,3915.3309678208734,0,0,0,0,0,1,3,-1.0,Unavailable,23.0,Good,25.0,1.0,6.7072290175333364,hcbs sports ville,0,0.2776317365982795
2244,2 BHK Flat,Raheja The Vedaanta Floors,2,2,3,unavailable,unavailable,mid-age,Sector 108 Gurgaon,0.7,2211.428571428572,3165.374677002584,0,0,0,0,0,1,1,28.0,Medium,0.0,Minimal,18.5,1.0,7.701846092260861,raheja the vedaanta floors,0,0.5306282510621704
2245,2 BHK Flat,kamal residence,2,2,1,Others,North-East,newly built,Sohna,0.4,748.5714285714287,5343.511450381679,0,0,0,0,0,1,0,58.5,Fancy,4.5,Minimal,20.0,1.0,6.619501614631399,kamal residence,1,0.33647223662121295
2246,3 BHK Flat,M3M Soulitude,3,3,2,unavailable,unavailable,under construction,Sector 89 Gurgaon,1.42,2032.857142857143,6985.242445537597,0,0,0,0,0,1,3,-1.0,Unavailable,5.0,Minimal,20.0,1.0,7.617689339558432,m3m soulitude,0,0.883767540168595
2247,2 BHK Flat,ROF Ananda,2,2,2,Study Room,unavailable,new,Sector 95 Gurgaon,0.38,920.0,4130.434782608695,0,0,0,0,0,1,5,31.5,Fancy,21.0,Good,19.0,1.0,6.825460036255307,rof ananda,1,0.3220834991691133
2248,2 BHK Flat,GLS Arawali Homes38 ,2,2,2,unavailable,unavailable,new,Sohna,0.26,822.8571428571429,3159.722222222222,0,0,0,0,0,1,4,-1.0,Unavailable,13.0,Basic,25.0,1.0,6.713997144560099,gls arawali homes,0,0.23111172096338664
2249,1 BHK Flat,AVL 36 Gurgaon37 ,1,1,1,unavailable,unavailable,unknown,Sector 36A Gurgaon,0.5,857.1428571428572,5833.333333333333,0,0,0,0,0,1,5,-1.0,Unavailable,0.0,Minimal,22.0,1.0,6.754770585794848,avl 36 gurgaon,0,0.4054651081081644
2250,4 BHK Flat,Tata Primanti41 ,4,4,3+,"Pooja Room,Study Room,Servant Room",East,new,Sector 72 Gurgaon,6.5,4675.0,13903.743315508022,0,0,0,0,0,1,0,28.0,Medium,20.0,Good,25.0,1.0,8.450198322591959,tata primanti,3,2.0149030205422647
2251,3 BHK Flat,Bestech Altura,3,4,2,Servant Room,unavailable,newly built,Sector 79 Gurgaon,1.9,3071.428571428572,6186.0465116279065,1,0,0,0,0,0,11,-1.0,Unavailable,13.5,Basic,20.0,0.75,8.030223593465669,bestech altura,1,1.0647107369924282
2252,2 BHK Flat,Eldeco Accolade38 ,2,2,3,unavailable,unavailable,newly built,Sohna,0.85,1805.7142857142856,4707.278481012658,0,0,1,0,0,0,10,-1.0,Unavailable,18.0,Basic,23.0,1.0,7.499265162824663,eldeco accolade,0,0.6151856390902334
