property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
2 BHK Flat,ROF Ananda,2.0,2.0,2,Study Room,East,newly built,Sector 95 Gurgaon,0.36,921.4285714285714,3906.9767441860463,0,0,0,0,0,1,10.0,-1.0,Unavailable,18.5,Basic,19.0
1 BHK Flat,Breez Global Heights,1.0,1.0,1,unavailable,unavailable,newly built,Sector 36 Gurgaon,0.24,588.5714285714286,4077.6699029126216,0,0,0,0,0,1,8.0,30.5,Fancy,16.0,Basic,0.0
2 BHK Flat,Global height,2.0,2.0,2,unavailable,East,new,Sohna,0.45,1014.2857142857143,4436.619718309859,0,0,0,0,0,1,6.0,38.0,Fancy,13.5,Basic,20.0
2 BHK Flat,Signature Global the Millennia,2.0,2.0,3,unavailable,unavailable,newly built,Sector 37D Gurgaon,0.65,928.5714285714287,6999.999999999999,0,0,0,0,0,1,0.0,-1.0,Unavailable,11.5,Basic,20.0
2 BHK Flat,M3M Heights,2.0,2.0,3,Study Room,North-East,under construction,Sector 65 Gurgaon,2.01,2165.714285714286,9281.002638522425,0,0,0,0,0,1,8.0,28.0,Medium,11.5,Basic,20.0
2 BHK Flat,Smart World Gems,2.0,2.0,2,Study Room,unavailable,under construction,Sector 89 Gurgaon,1.0,1581.4285714285716,6323.396567299006,0,0,0,1,0,0,1.0,-1.0,Unavailable,12.5,Basic,20.0
3 BHK Flat,Aashirwad Residency,3.0,2.0,2,Others,unavailable,mid-age,Sector 5 chowk Gurgaon,0.9,1142.857142857143,7875.0,0,0,0,0,1,0,4.0,28.0,Medium,8.5,Minimal,0.0
3 BHK Flat,Tulip Monsella,3.0,3.0,3,unavailable,unavailable,under construction,Sector 53 Gurgaon,6.02,3181.2000000000003,18923.676600025145,1,0,0,0,0,0,29.0,28.0,Medium,0.0,Minimal,20.0
2 BHK Flat,Smart World Gems,2.0,2.0,2,unavailable,unavailable,unknown,Sector 89 Gurgaon,0.9,1215.5,7404.360345536817,0,1,0,1,1,0,1.0,-1.0,Unavailable,0.0,Minimal,20.0
3 BHK Flat,Whiteland  The ASPEN,3.0,4.0,3,unavailable,unavailable,unknown,Sector 76 Gurgaon,3.5,4195.714285714286,8341.845420497104,0,0,0,0,0,1,8.0,28.0,Medium,0.0,Minimal,0.0
